bentley,continental,2013,convertible,2650000000,gozar movaqaat,19000,1,0,1,24,2
peugeot,207,2018,at,120000000,melli,0,1,0,1,0,1
peugeot,207,2018,at,122000000,melli,0,1,0,1,2,1
peugeot,206 ir,2018,type5,78000000,melli,0,0,0,1,0,1
mercedes benz,s class,2014,s500,1590000000,gozar movaqaat,55000,1,0,1,0,7
volvo,c70,2013,convertible,470000000,melli,40000,1,0,1,8,10
peugeot,pars,2018,lx,120000000,melli,0,0,0,1,1,1
renault,sandero stepway,2018,at,133000000,melli,0,1,0,1,0,1
hyundai,santafe ix45,2012,3500cc,360000000,melli,135000,1,0,1,0,1
renault,tondar90 plus,2018,at,125000000,melli,0,1,0,1,0,1
peugeot,pars,2018,lx,98000000,melli,0,0,0,1,0,2
peugeot,207,2018,mt,103000000,melli,0,0,0,1,1,1
peugeot,207,2018,mt,100000000,melli,0,0,0,1,2,1
renault,sandero,2018,at,123000000,melli,0,1,0,1,0,1
dongfeng,h30,2018,cross,107000000,melli,0,1,0,1,0,1
mitsubishi,outlander,2018,phev,650000000,melli,0,1,2,1,0,1
mitsubishi,lancer 1.8,2018,at,330000000,melli,0,1,0,1,1,1
toyota,yaris,2015,hatchback,230000000,melli,28000,1,0,1,0,1
mitsubishi,outlander,2018,phev,670000000,melli,0,1,2,1,0,1
mercedes benz,e class,2015,e250,1060000000,melli,45000,1,0,1,0,4
hyundai,tucson,2015,ix35,355000000,melli,59000,1,0,1,0,1
hyundai,i10,2017,ir,138000000,melli,17000,1,0,1,1,1
suzuki,grand,2006,vitara,130000000,melli,220000,0,0,1,4,1
toyota,aurion,2011,grande,420000000,melli,90000,1,0,1,1,3
hyundai,i20,2017,ir,195000000,melli,18000,1,0,1,1,4
kia,sportage,2014,basic,350000000,melli,70000,1,0,1,2,1
pick,up cara,2018,2door,65000000,melli,0,0,0,1,4,-1
pick,up cara,2018,2door,65000000,melli,0,0,0,1,8,1
pick,up cara,2018,2door,65000000,melli,0,0,0,1,0,3
pick,up cara,2018,2door,63000000,melli,0,0,0,1,4,3
pick,up cara,2018,2door,65000000,melli,0,0,0,1,8,9
pick,up cara,2018,2door,65000000,melli,0,0,0,1,4,3
geely,gc6,2018,excellent,96000000,melli,0,1,0,1,0,1
pick,up cara,2018,2door,65000000,melli,0,0,0,1,8,9
pick,up cara,2018,2door,65000000,melli,0,0,0,1,0,3
mazda 3,sedan 2.0l,2018,type4,286000000,melli,0,1,0,1,0,1
toyota,prius,2017,c,319000000,melli,20000,1,2,3,0,1
pick,up cara,2018,2door,65000000,melli,0,0,0,1,8,9
pick,up cara,2018,2door,65000000,melli,0,0,0,1,0,3
pick,up cara,2018,2door,65000000,melli,0,0,0,1,4,3
pick,up cara,2018,2door,65000000,melli,0,0,0,1,0,3
pick,up cara,2018,2door,65000000,melli,0,0,0,1,0,3
pick,up cara,2018,2door,65000000,melli,0,0,0,1,8,9
mercedes benz,c class,2009,c350,490000000,melli,37000,1,0,1,0,1
mercedes benz,c class,1994,c180,100000000,melli,280000,0,0,1,13,-1
hyundai,sonata hybrid,2017,gls,427000000,melli,0,1,2,1,1,3
bmw 5,series sedan,2017,530i,1450000000,melli,0,1,0,1,1,5
kia,cerato,2010,koup,180000000,melli,190000,1,0,4,13,1
mercedes benz,c class,2005,c180,220000000,melli,150000,1,0,5,0,2
toyota,hilux high,2015,at,540000000,melli,23500,1,0,1,0,6
bmw 5,series sedan,2015,528i,870000000,melli,20000,1,0,1,0,5
